textbox22,Textbox9
generated on 27/10/2020 22:32:01 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
United States of America,Region of the Americas of WHO,North America,2019,1,2018-12-31,2019-01-06,47278,47278,0,1182,305,,5400,6887,17,6,158,181,7068,40210,No Report
United States of America,Region of the Americas of WHO,North America,2019,2,2019-01-07,2019-01-13,44838,44838,0,1429,233,,5175,6837,20,4,230,254,7091,37747,No Report
United States of America,Region of the Americas of WHO,North America,2019,3,2019-01-14,2019-01-20,45296,45296,0,1475,366,,6783,8624,16,17,195,228,8852,36444,No Report
United States of America,Region of the Americas of WHO,North America,2019,4,2019-01-21,2019-01-27,47652,47652,0,1546,511,,8426,10483,9,17,262,288,10771,36881,No Report
United States of America,Region of the Americas of WHO,North America,2019,5,2019-01-28,2019-02-03,52704,52704,0,1678,806,,10732,13216,18,24,300,342,13558,39146,No Report
United States of America,Region of the Americas of WHO,North America,2019,6,2019-02-04,2019-02-10,58794,58794,0,1878,1202,,13197,16277,11,18,446,475,16752,42040,No Report
United States of America,Region of the Americas of WHO,North America,2019,7,2019-02-11,2019-02-17,57876,57876,0,1703,1305,,13375,16383,18,29,532,579,16962,40913,No Report
United States of America,Region of the Americas of WHO,North America,2019,8,2019-02-18,2019-02-24,58689,58689,0,1480,1501,,13759,16740,12,28,532,572,17312,41377,No Report
United States of America,Region of the Americas of WHO,North America,2019,9,2019-02-25,2019-03-03,58082,58082,0,1377,1785,,13498,16660,10,34,474,518,17178,40904,No Report
United States of America,Region of the Americas of WHO,North America,2019,10,2019-03-04,2019-03-10,57990,57990,0,1292,1829,,13258,16379,27,42,491,560,16939,41051,No Report
United States of America,Region of the Americas of WHO,North America,2019,11,2019-03-11,2019-03-17,57812,57812,0,1052,1828,,13412,16292,31,56,611,698,16990,40822,No Report
United States of America,Region of the Americas of WHO,North America,2019,12,2019-03-18,2019-03-24,52500,52500,0,745,1402,,10349,12496,19,50,689,758,13254,39246,No Report
United States of America,Region of the Americas of WHO,North America,2019,13,2019-03-25,2019-03-31,45764,45764,0,472,1110,,7695,9277,25,66,698,789,10066,35698,No Report
United States of America,Region of the Americas of WHO,North America,2019,14,2019-04-01,2019-04-07,39287,39287,0,336,889,,4904,6129,20,70,684,774,6903,32384,No Report
United States of America,Region of the Americas of WHO,North America,2019,15,2019-04-08,2019-04-14,33751,33751,0,217,660,,3210,4087,18,58,638,714,4801,28950,No Report
United States of America,Region of the Americas of WHO,North America,2019,16,2019-04-15,2019-04-21,29429,29429,0,130,354,,1898,2382,19,50,536,605,2987,26442,No Report
United States of America,Region of the Americas of WHO,North America,2019,17,2019-04-22,2019-04-28,25890,25890,0,87,218,,1032,1337,14,39,475,528,1865,24025,No Report
